,역명,노선명,sub노선명,순번,lat,lng,이용자변화율
76,관악,1호선,1호선A,146,37.419232,126.908706,-0.29111532649462635
77,가산디지털단지,1호선,1호선A,142,37.481072,126.882343,-0.1358371150297102
78,성균관대,1호선,1호선A,153,37.300349,126.97075,-0.29312631746289863
79,수원,1호선,1호선A,155,37.265974,126.999874,-0.3526775570304135
80,군포,1호선,1호선A,150,37.35356,126.948462,-0.19365471299770742
81,직산,1호선,1호선A,167,36.870593,127.143904,-0.34883505727035313
82,배방,1호선,1호선A,174,36.777629,127.052991,-0.2450583293887847
83,서정리,1호선,1호선A,163,37.056496,127.052819,-0.07106684429110754
84,당정,1호선,1호선A,151,37.344285,126.948345,-0.3201429320000876
85,세류,1호선,1호선A,156,37.245025,127.013222,-0.36536995862085675
86,독산,1호선,1호선A,143,37.466613,126.889249,-0.1920661510309809
87,오산대,1호선,1호선A,159,37.168953,127.063197,-0.2516365259016621
88,봉명,1호선,1호선A,170,36.801215,127.135763,-0.3053663940568896
89,온양온천,1호선,1호선A,175,36.780483,127.003249,-0.3993313722803137
90,금정,1호선,1호선A,149,37.372221,126.943429,-0.22509142246005687
91,아산,1호선,1호선A,172,36.792053,127.104361,-0.30964387144722016
92,금천구청,1호선,1호선A,144,37.455626,126.89398,-0.2207941467664858
93,평택지제,1호선,1호선A,164,37.0188,127.070444,-0.11959694520016517
94,성환,1호선,1호선A,166,36.916076,127.126964,-0.3962678058081155
95,화서,1호선,1호선A,154,37.283862,126.989627,-0.3054454896945985
96,석수,1호선,1호선A,145,37.435047,126.902295,-0.29139730551907195
97,광명,1호선,1호선B,145,37.416182,126.884466,-0.14652797325540068
98,금천구청,1호선,1호선B,144,37.455626,126.89398,-0.2207941467664858
99,병점,1호선,1호선C,157,37.207503,127.032731,-0.3215422359463569
100,서동탄,1호선,1호선C,158,37.195504,127.051672,-0.3154826889868847
101,한양대,2호선,2호선,209,37.555273,127.043655,-0.49015618542674
102,을지로3가,2호선,2호선,203,37.566295,126.99191,-0.28292645554214
103,충정로(경기대입구),2호선,2호선,243,37.559973,126.963672,-0.2547539756664371
104,영등포구청,2호선,2호선,236,37.52497,126.895951,-0.1709211691091882
105,서초,2호선,2호선,224,37.491897,127.007917,-0.28464683620228237
106,잠실나루,2호선,2호선,215,37.520733,127.10379,-0.3238119204468982
107,을지로4가,2호선,2호선,204,37.566941,126.998079,-0.18333632212740103
108,왕십리(성동구청),2호선,2호선,208,37.561533,127.037732,-0.3262649698658038
109,교대(법원.검찰청),2호선,2호선,223,37.493415,127.01408,-0.27427714514048396
110,종합운동장,2호선,2호선,218,37.510997,127.073642,-0.5360066091746255
111,아현,2호선,2호선,242,37.557345,126.956141,-0.24607204477454958
112,사당,2호선,2호선,226,37.47653,126.981685,-0.30683189692265933
113,시청,2호선,2호선,201,37.564718,126.977108,-0.3479647793136319
114,강변(동서울터미널),2호선,2호선,214,37.535095,127.094681,-0.4220370130679365
115,시청,2호선,2호선,244,37.564718,126.977108,-0.3479647793136319
116,당산,2호선,2호선,237,37.53438,126.902281,-0.26718916860403563
117,신림,2호선,2호선,230,37.484201,126.929715,-0.24801944683990573
118,이대,2호선,2호선,241,37.556733,126.946013,-0.4969269671311768
119,강남,2호선,2호선,222,37.497175,127.027926,-0.3256539890517869
120,서울대입구(관악구청),2호선,2호선,228,37.481247,126.952739,-0.2640464777847791
121,상왕십리,2호선,2호선,207,37.564354,127.029354,-0.22246799815391538
122,을지로입구,2호선,2호선,202,37.566014,126.982618,-0.4088220519256067
123,잠실(송파구청),2호선,2호선,216,37.51395,127.102234,-0.3658218287176961
124,문래,2호선,2호선,235,37.517933,126.89476,-0.17587377834986562
125,삼성(무역센터),2호선,2호선,219,37.508844,127.06316,-0.3473739139574833
126,성수,2호선,2호선,211,37.544581,127.055961,-0.07510891268597475
127,대림(구로구청),2호선,2호선,233,37.49297,126.895801,-0.3144231039965123
128,건대입구,2호선,2호선,212,37.540693,127.07023,-0.3565093668547894
129,홍대입구,2호선,2호선,239,37.557192,126.925381,-0.438715302919257
130,신당,2호선,2호선,206,37.565972,127.01782,-0.25968171804221374
131,신도림,2호선,2호선,234,37.508725,126.891295,-0.30903803202436353
132,구의(광진구청),2호선,2호선,213,37.537077,127.085916,-0.2110611833411138
133,구로디지털단지,2호선,2호선,232,37.485266,126.901401,-0.23262922395254548
134,신촌,2호선,2호선,240,37.555134,126.936893,-0.4306723013501783
135,봉천,2호선,2호선,229,37.482362,126.941892,-0.20247139553597882
136,잠실새내,2호선,2호선,217,37.511687,127.086162,-0.3430144195598507
137,낙성대(강감찬),2호선,2호선,227,37.47693,126.963693,-0.24966255985004016
138,합정,2호선,2호선,238,37.549463,126.913739,-0.27277382251370375
139,역삼,2호선,2호선,221,37.500622,127.036456,-0.20252891181224542
140,신대방,2호선,2호선,231,37.487462,126.913149,-0.24232687592913216
141,뚝섬,2호선,2호선,210,37.547184,127.047367,-0.10500714836959069
142,선릉,2호선,2호선,220,37.504503,127.049008,-0.1909893620511206
143,동대문역사문화공원(DDP),2호선,2호선,205,37.565138,127.007896,-0.45489424729369876
