,노선,역명,X,Y
126,4호선,평촌,380.016168,235.9659864
127,4호선,범계,360.7294038,218.2176871
128,4호선,금정,353.0146982,184.4081633
129,4호선,산본,352.05036,161.2244898
130,4호선,수리산,351.6981515,140.7278912
131,4호선,대야미,351.6981515,121.4081633
132,4호선,반월,351.6981515,104.0204082
133,4호선,상록수,352.1349471,85.04298643
134,4호선,한대앞,321.9407756,83.55656109
135,4호선,중앙,290.3291185,84.03393665
136,4호선,고잔,258.1550014,84.52941177
137,4호선,초지,228.9510804,84.52036199
138,4호선,안산,202.1817181,84.16742081
139,4호선,신길온천,174.2709697,83.41176471
140,4호선,정왕,146.3602213,84.16742081
141,4호선,오이도,114.6777501,84.92307692
142,5호선,방화,136.6972811,670.5272727
143,5호선,개화산,136.6972811,646.8545455
144,5호선,김포공항,136.6972811,607.9176955
145,5호선,송정,136.6972811,585.8902606
146,5호선,마곡,136.6972811,563.8628258
147,5호선,발산,136.6972811,543.3237311
148,5호선,우장산,136.6972811,518.617284
149,5호선,화곡,147.2610605,505.8147139
150,5호선,신정,192.7590022,485.3533424
151,5호선,목동,216.2510381,485.3533424
152,5호선,오목교,241.8122973,485.3533424
153,5호선,양평,261.7096341,468.7142857
154,5호선,영등포시장,313.622319,449.9402174
155,5호선,신길,345.9710456,449.9402174
156,5호선,여의도,356.1275857,494.5
157,5호선,여의나루,385.9470917,494.5
158,5호선,마포,422.5336956,510.5
159,5호선,공덕,438.6149022,531.6666667
160,5호선,애오개,438.6149022,566.2290809
161,5호선,서대문,480.4993017,649.1179698
162,5호선,광화문,527.7064619,649.1179698
163,5호선,청구,711.301272,517.2273973
164,5호선,신금호,735.6785537,517.2273973
165,5호선,행당,767.2216313,526.8424658
166,5호선,마장,861.2302342,544.1563786
167,5호선,답십리,877.1532939,528.5355191
168,5호선,장한평,893.3602936,515.0382514
169,5호선,군자,910.2302537,500.7111717
170,5호선,아차산,922.0431738,477.1226158
171,5호선,광나루,931.3812023,457.4318801
172,5호선,천호,949.4482574,416.2234332
173,5호선,강동,949.4482574,387.4503401
174,5호선,둔촌동,949.4482574,359.9346939
175,5호선,올림픽공원,949.4482574,335.8585034
176,5호선,방이,949.4482574,301.4544218
177,5호선,개롱,949.4482574,243.1616848
178,5호선,거여,977.8705567,243.1616848
179,5호선,마천,1006.923428,243.1616848
180,5호선,길동,979.3924981,387.4503401
181,5호선,굽은다리,997.5768824,401.7090164
182,5호선,명일,997.5768824,426.7581967
183,5호선,고덕,997.5768824,446.8497268
184,5호선,상일동,997.5768824,469.2896175
185,6호선,역촌,363.0288809,693.4375
186,6호선,독바위,392.0974729,726.4630682
187,6호선,구산,342.3285199,717.2159091
188,6호선,응암,323.1516245,693.4375
189,6호선,세절,309.0361011,693.2159091
190,6호선,증산,303.2057762,654.5568182
191,6호선,디지털미디어시티,303.2057762,628.3636364
192,6호선,월드컵경기장,303.2057762,608.5
193,6호선,마포구청,303.2057762,591.2272727
194,6호선,망원,303.2057762,573.0909091
195,6호선,상수,325.4756691,531.6666667
196,6호선,광흥창,367.0693431,531.6666667
197,6호선,대흥,402.6423358,531.6666667
198,6호선,효창공원앞,468.8479319,495.6363636
199,6호선,녹사평,536.6699507,458.7897727
200,6호선,이태원,572.9501247,458.7897727
201,6호선,한강진,608.1583541,458.7897727
202,6호선,버티고개,646.6309227,458.7897727
203,6호선,창신,727.4165621,638.6193182
204,6호선,보문,734.9523212,656.2954545
205,6호선,안암,749.1543287,669.0454545
206,6호선,고려대,762.1969887,680.9261364
207,6호선,월곡,780.8329114,687.0113636
208,6호선,상월곡,801.5443038,687.0113636
209,6호선,돌곶이,820.4658228,687.0113636
210,6호선,석계,842.5848101,687.0113636
211,6호선,태릉입구,911.0075949,687.0113636
212,6호선,화랑대,950.4481013,687.0113636
213,6호선,봉화산,982.4101266,687.0113636
214,7호선,부평구청,26.09186352,423.2443182
215,7호선,굴포천,64.61324503,423.2443182
216,7호선,삼산체육관,64.61324503,440.4886364
217,7호선,상동,64.61324503,460.5681818
218,7호선,부천시청,80.7602649,474.4375
219,7호선,신중동,117.0490066,474.4375
220,7호선,춘의,128.4794702,459.5397727
221,7호선,부천종합운동장,140.810596,444.3920455
222,7호선,까치울,156.0634921,424.4886364
223,7호선,온수,156.0634921,403.0767045
224,7호선,천왕,156.0634921,384.1349432
225,7호선,광명사거리,176.9744318,347.953125
226,7호선,철산,224.2840909,347.953125
227,7호선,가산디지털단지,257.5738636,347.953125
228,7호선,남구로,290.2982955,347.953125
229,7호선,신풍,353.8352273,347.953125
230,7호선,보라매,383.3814286,347.953125
231,7호선,신대방삼거리,415.3914286,347.953125
232,7호선,장승배기,454.8842857,347.953125
233,7호선,상도,486.6585714,347.953125
234,7호선,숭실대입구,516.1742857,347.953125
235,7호선,남성,545.2742857,347.953125
236,7호선,내방,595.5757143,347.953125
237,7호선,반포,669.83,347.953125
238,7호선,논현,697.2671429,347.953125
239,7호선,학동,727.6142857,347.953125
240,7호선,강남구청,749.3509272,365.2056746
241,7호선,청담,773.1169757,386.054704
242,7호선,뚝섬유원지,809.978602,417.0858176
243,7호선,어린이대공원,882.2467903,476.7237391
244,7호선,중곡,911.0075949,527.1079545
245,7호선,용마산,911.0075949,547.2727273
246,7호선,사가정,911.0075949,569.0909091
247,7호선,면목,911.0075949,591.6363636
248,7호선,상봉,911.0075949,635.2727273
249,7호선,중화,911.0075949,653.8181818
250,7호선,먹골,911.0075949,669.8181818
251,7호선,공릉,887.5909091,704.0284091
252,7호선,하계,868.6193182,717.2784091
253,7호선,중계,846.3352273,733.8409091
254,7호선,마들,792.4318182,773.2897727
255,7호선,수락산,771.3522727,788.6477273
256,7호선,도봉산,743.2272727,809.1818182
257,7호선,장암,782.0738636,809.4829545
258,8호선,암사,973.2272727,435.1136364
259,8호선,강동구청,910.0227273,386.0227273
260,8호선,몽촌토성,884.25,363.9318182
261,8호선,석촌,863.3863636,311.7727273
262,8호선,송파,869.9232955,295.28125
263,8호선,문정,869.9232955,249.1576705
264,8호선,장지,869.9232955,231.5582386
265,8호선,복정,869.9232955,200.5284091
266,8호선,산성,894.21875,200.5284091
267,8호선,남한산성입구,922.109375,200.5284091
268,8호선,단대오거리,948.140625,200.5284091
269,8호선,신흥,973.1022727,200.5284091
270,8호선,수진,973.1022727,181.1150568
271,8호선,모란,973.1022727,159.8849432
